"min5_dbscan_raw_r201_eps_25","actual_age","Sample"
2102.76847994213,1847,"d088_5YR"
782.861845416137,717,"E246_2YR"
2859.40927893825,3243,"E246_8yr"
71.2552127476617,15,"E246_D15"
331.427624408883,172,"E246_D170"
42.4558038072072,29,"E246_D30"
551.084779037679,361,"E246_D365"
2154.03391903025,2141,"E253"
829.680394551913,734,"E264_2yr"
2987.14920627112,3252,"E264_8yr"
1.53652826305766,14,"E264_d15"
391.213807628434,181,"E264_d170"
145.020973259477,31,"E264_d30"
546.226650914454,370,"E264_d365"
1825.74035034202,2044,"E486"
1830.7065437932,2041,"E494"
1989.18076605299,2077,"E604"
3205.72226625476,3391,"E607_8yr"
39.4307433421768,20,"E607_d20"
-23.9159304644338,40,"E607_d40"
212.334588601922,90,"E607_d90"
1993.40102522189,2075,"E612"
1870.29881813641,2074,"E623"
1844.85544892185,1923,"E740"
851.95570776322,728,"E752_2yr"
2786.75865521257,3240,"E752_8yr"
4.60685355747695,4,"E752_d1"
68.5547413137574,13,"E752_d15"
381.815019296991,181,"E752_d170"
-6.21520218790879,28,"E752_d30"
559.795126981129,372,"E752_d365"
1648.06610999688,1816,"E915"
2913.86890090713,3143,"E929_8yr"
319.185906052957,193,"E929_D170"
50.1360733309879,31,"E929_D30"
572.939856087327,378,"E929_D365"
1804.64148408262,1817,"E974"
1714.37227950704,1816,"E976"
1628.56552482303,1816,"H022"
1765.08609122716,1811,"H096"
1636.1595726661,1811,"H108"
-26.562959432007,1,"h125_D1"
58.6339361513477,0,"h18_D1"
2098.30916219341,2106,"H315"
1966.44720717969,2106,"H341"
2098.80835040677,2107,"H353"
2165.55115646969,2107,"H354"
1949.22341931601,2106,"H375"
1993.6959473757,2101,"H407"
-73.3562910333862,0,"H451_D1"
-75.5629591012079,0,"H453_D1"
1538.60974199957,1779,"H459"
1646.34238860632,1779,"H464"
1627.74154031271,1780,"H485"
-4.25354915839174,0,"H485_D1"
261.48722040108,255,"H505"
1581.75714267168,1779,"H621"
384.474490505757,262,"H784"
319.783741319732,263,"H786"
343.703581770384,264,"H787"
316.743240034861,262,"H905"
260.102693278311,261,"H910"
451.77276081152,261,"H914"
476.811382300438,261,"H919"
393.228011862311,261,"H921"
30.7651903223835,0,"h95_D1"
280.036121125324,257,"H953"
445.882839541303,254,"H958"
374.010146433525,239,"K343"
321.599352419814,242,"K346"
321.788079910918,238,"K353"
364.630902530844,239,"K358"
117.095869492446,238,"K369"
374.674022587443,237,"K377"
256.229207672251,237,"K386"
179.531069690379,237,"K388"
270.293669103752,237,"K395"
300.315823714669,234,"K407"
289.676682989036,235,"K413"
429.907244322408,234,"K419"
487.842701190305,244,"K422"
872.179043416571,699,"z049_2YR"
1003.83951446773,1085,"z049_3YR"
1434.41109025896,1448,"z049_4YR"
1608.19384261382,1823,"z049_5YR"
51.8125841272879,125,"z049_D170"
321.127067897625,360,"z049_D365"
1241.10181298381,1103,"z175_3YR"
1518.8932872011,1460,"z175_4YR"
1884.1884667855,1739,"z175_5YR"
1128.23904162111,1096,"z237_3YR"
1479.13437252517,1453,"z237_4YR"
1691.09273470224,1817,"z237_5YR"
748.930153275805,738,"z312_2YR"
1048.32963275016,1187,"z312_3YR"
1284.31564857365,1459,"z312_4YR"
1217.78371803978,1098,"z458_3YR"
1521.23974066491,1455,"z458_4YR"
1810.24614376783,1819,"z458_5YR"
