ring,mat_age,treatment,sex,nest,actual_age,eAge_dbscan_nf,eAge_dbscan_r201,eAge_dbscan_730_1,eAge_dbscan_730_4
K974,Young,CORT,M,K540-K525,27,30.168113,27.85789566,26.74694092,21.22279433
K975,Old,CNTRL,M,K313-K592,29,28.53450844,29.12055925,29.22216301,25.4261001
K976,Old,CNTRL,M,K319-K524,28,35.86242978,34.40974253,26.69322385,29.86724216
K977,Old,CNTRL,F,K319-K524,28,11.97515715,9.484527375,19.3832885,16.51629
K979,Old,CORT,F,H843-K512,28,10.87843537,4.504928399,25.83895684,21.76223922
K980,Old,CORT,F,H843-K512,28,25.39869778,26.50374982,28.69509349,29.21092503
K989,Old,CORT,F,K252-K487,29,27.60250443,22.79384299,17.93223847,19.62304245
K990,Old,CORT,M,K252-K487,29,64.55120324,34.69484489,59.34361575,68.55250146
K994,Young,CORT,F,K531-K583,29,19.93785012,13.09035809,28.93850502,32.73887799
K997,Old,CNTRL,F,K313-K592,29,18.47960982,18.0200187,20.70700803,18.28778186
M005,Young,CORT,F,K515-K561,29,68.92939228,86.16796193,49.69150338,52.96585246
M008,Old,CNTRL,F,K276-K488,29,37.85384855,29.0080464,38.26108299,33.39847722
M011,Young,CNTRL,M,K533-K626,28,38.11270901,46.22386772,31.4025002,30.25654613
M019,Old,CORT,F,K286-K564,30,31.88671368,33.95692336,20.63842396,25.60759458
